<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MFON,D,20140901,000000,978.0000000
MFON,D,20140902,000000,984.1000000
MFON,D,20140903,000000,1015.0000000
MFON,D,20140904,000000,1035.9000000
MFON,D,20140905,000000,1054.0000000
MFON,D,20140908,000000,1058.0000000
MFON,D,20140909,000000,1037.0000000
MFON,D,20140910,000000,1052.5000000
MFON,D,20140911,000000,1046.0000000
MFON,D,20140912,000000,1034.5000000
MFON,D,20140915,000000,1032.0000000
MFON,D,20140916,000000,1036.5000000
MFON,D,20140917,000000,1014.1000000
MFON,D,20140918,000000,1027.0000000
MFON,D,20140919,000000,1015.0000000
MFON,D,20140922,000000,1040.2000000
MFON,D,20140923,000000,1006.9000000
MFON,D,20140924,000000,1040.0000000
MFON,D,20140925,000000,1042.1000000
MFON,D,20140926,000000,1054.9000000
MFON,D,20140929,000000,1035.5000000
MFON,D,20140930,000000,1020.0000000
MFON,D,20141001,000000,1026.0000000
MFON,D,20141002,000000,978.0000000
MFON,D,20141003,000000,1005.0000000
MFON,D,20141006,000000,1052.0000000
MFON,D,20141007,000000,1059.0000000
MFON,D,20141008,000000,1019.0000000
MFON,D,20141009,000000,1030.0000000
MFON,D,20141010,000000,976.0000000
MFON,D,20141013,000000,992.0000000
MFON,D,20141014,000000,985.0000000
MFON,D,20141015,000000,968.0000000
MFON,D,20141016,000000,931.0000000
MFON,D,20141017,000000,974.0000000
MFON,D,20141020,000000,951.0000000
MFON,D,20141021,000000,970.0000000
MFON,D,20141022,000000,954.0000000
MFON,D,20141023,000000,957.0000000
MFON,D,20141024,000000,979.0000000
MFON,D,20141027,000000,955.0000000
MFON,D,20141028,000000,971.0000000
MFON,D,20141029,000000,1000.0000000
MFON,D,20141030,000000,997.0000000
MFON,D,20141031,000000,993.0000000
MFON,D,20141103,000000,992.0000000
MFON,D,20141105,000000,994.0000000
MFON,D,20141106,000000,1022.0000000
MFON,D,20141107,000000,1012.0000000
MFON,D,20141110,000000,1016.0000000
MFON,D,20141111,000000,1044.0000000
MFON,D,20141112,000000,1040.0000000
MFON,D,20141113,000000,1012.0000000
MFON,D,20141114,000000,1003.0000000
MFON,D,20141117,000000,1017.0000000
MFON,D,20141118,000000,1012.0000000
MFON,D,20141119,000000,1016.0000000
MFON,D,20141120,000000,1028.0000000
MFON,D,20141121,000000,1022.0000000
MFON,D,20141124,000000,1018.0000000
MFON,D,20141125,000000,1021.0000000
MFON,D,20141126,000000,1012.0000000
MFON,D,20141127,000000,1008.0000000
MFON,D,20141128,000000,982.0000000
MFON,D,20141201,000000,1007.0000000
MFON,D,20141202,000000,996.0000000
MFON,D,20141203,000000,1007.0000000
MFON,D,20141204,000000,983.0000000
MFON,D,20141205,000000,948.0000000
MFON,D,20141208,000000,902.0000000
MFON,D,20141209,000000,900.0000000
MFON,D,20141210,000000,953.0000000
MFON,D,20141211,000000,949.0000000
MFON,D,20141212,000000,929.0000000
MFON,D,20141215,000000,945.0000000
MFON,D,20141216,000000,804.0000000
MFON,D,20141217,000000,875.0000000
MFON,D,20141218,000000,895.0000000
MFON,D,20141219,000000,894.0000000
MFON,D,20141222,000000,911.0000000
MFON,D,20141223,000000,903.0000000
MFON,D,20141224,000000,871.0000000
MFON,D,20141225,000000,883.0000000
MFON,D,20141226,000000,875.0000000
MFON,D,20141229,000000,887.0000000
MFON,D,20141230,000000,820.0000000
MFON,D,20150105,000000,838.0000000
MFON,D,20150106,000000,845.0000000
MFON,D,20150108,000000,876.0000000
MFON,D,20150109,000000,910.0000000
MFON,D,20150112,000000,906.0000000
MFON,D,20150113,000000,903.0000000
MFON,D,20150114,000000,921.0000000
MFON,D,20150115,000000,960.0000000
MFON,D,20150116,000000,972.0000000
MFON,D,20150119,000000,951.0000000
MFON,D,20150120,000000,964.0000000
MFON,D,20150121,000000,960.0000000
MFON,D,20150122,000000,1033.0000000
MFON,D,20150123,000000,1012.0000000
MFON,D,20150126,000000,1035.0000000
MFON,D,20150127,000000,1011.0000000
MFON,D,20150128,000000,959.0000000
MFON,D,20150129,000000,935.0000000
MFON,D,20150130,000000,900.0000000
MFON,D,20150202,000000,904.0000000
MFON,D,20150203,000000,920.0000000
MFON,D,20150204,000000,942.0000000
MFON,D,20150205,000000,995.0000000
MFON,D,20150206,000000,1085.0000000
MFON,D,20150209,000000,1060.0000000
MFON,D,20150210,000000,1032.0000000
MFON,D,20150211,000000,1020.0000000
MFON,D,20150212,000000,1025.0000000
MFON,D,20150213,000000,1079.0000000
MFON,D,20150216,000000,1041.0000000
MFON,D,20150217,000000,1032.0000000
MFON,D,20150218,000000,1060.0000000
MFON,D,20150219,000000,1040.0000000
MFON,D,20150220,000000,1020.0000000
MFON,D,20150224,000000,1034.0000000
MFON,D,20150225,000000,1015.0000000
MFON,D,20150226,000000,1005.0000000
MFON,D,20150227,000000,1014.0000000
MFON,D,20150302,000000,1051.0000000
MFON,D,20150303,000000,1041.0000000
MFON,D,20150304,000000,1017.0000000
MFON,D,20150305,000000,989.0000000
MFON,D,20150306,000000,977.0000000
MFON,D,20150310,000000,987.0000000
MFON,D,20150311,000000,941.0000000
MFON,D,20150312,000000,922.0000000
MFON,D,20150313,000000,920.0000000
MFON,D,20150316,000000,886.0000000
MFON,D,20150317,000000,868.0000000
MFON,D,20150318,000000,891.0000000
MFON,D,20150319,000000,857.0000000
MFON,D,20150320,000000,893.0000000
MFON,D,20150323,000000,908.0000000
MFON,D,20150324,000000,905.0000000
MFON,D,20150325,000000,906.0000000
MFON,D,20150326,000000,897.0000000
MFON,D,20150327,000000,903.0000000
MFON,D,20150330,000000,932.0000000
MFON,D,20150331,000000,915.0000000
MFON,D,20150401,000000,954.0000000
MFON,D,20150402,000000,970.0000000
MFON,D,20150403,000000,958.0000000
MFON,D,20150406,000000,961.0000000
MFON,D,20150407,000000,992.0000000
MFON,D,20150408,000000,960.0000000
MFON,D,20150409,000000,928.0000000
MFON,D,20150410,000000,913.0000000
MFON,D,20150413,000000,920.0000000
