<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MTSS,D,20140205,000000,297.9900000
MTSS,D,20140206,000000,296.0000000
MTSS,D,20140207,000000,299.0000000
MTSS,D,20140210,000000,299.5500000
MTSS,D,20140211,000000,302.5000000
MTSS,D,20140212,000000,303.1000000
MTSS,D,20140213,000000,294.7200000
MTSS,D,20140214,000000,296.4000000
MTSS,D,20140217,000000,297.3400000
MTSS,D,20140218,000000,295.5000000
MTSS,D,20140219,000000,287.3900000
MTSS,D,20140220,000000,282.0100000
MTSS,D,20140221,000000,285.5900000
MTSS,D,20140224,000000,285.5400000
MTSS,D,20140225,000000,281.7900000
MTSS,D,20140226,000000,276.2100000
MTSS,D,20140227,000000,271.3900000
MTSS,D,20140228,000000,276.2000000
MTSS,D,20140303,000000,239.6300000
MTSS,D,20140304,000000,254.0600000
MTSS,D,20140305,000000,256.5000000
MTSS,D,20140306,000000,259.2600000
MTSS,D,20140307,000000,252.8300000
MTSS,D,20140311,000000,246.8000000
MTSS,D,20140312,000000,237.5000000
MTSS,D,20140313,000000,236.4300000
MTSS,D,20140314,000000,235.0000000
MTSS,D,20140317,000000,245.6100000
MTSS,D,20140318,000000,260.7100000
MTSS,D,20140319,000000,257.7100000
MTSS,D,20140320,000000,259.6000000
MTSS,D,20140321,000000,256.1200000
MTSS,D,20140324,000000,260.0800000
MTSS,D,20140325,000000,265.0100000
MTSS,D,20140326,000000,271.2100000
MTSS,D,20140327,000000,263.5000000
MTSS,D,20140328,000000,272.5800000
MTSS,D,20140331,000000,271.0000000
MTSS,D,20140401,000000,271.5000000
MTSS,D,20140402,000000,269.0000000
MTSS,D,20140403,000000,268.5000000
MTSS,D,20140404,000000,269.0000000
MTSS,D,20140407,000000,259.5000000
MTSS,D,20140408,000000,258.0000000
MTSS,D,20140409,000000,252.0000000
MTSS,D,20140410,000000,252.4500000
MTSS,D,20140411,000000,253.6000000
MTSS,D,20140414,000000,248.0000000
MTSS,D,20140415,000000,240.0000000
MTSS,D,20140416,000000,243.0000000
MTSS,D,20140417,000000,248.8000000
MTSS,D,20140418,000000,258.9000000
MTSS,D,20140421,000000,256.0000000
MTSS,D,20140422,000000,258.7000000
MTSS,D,20140423,000000,258.0000000
MTSS,D,20140424,000000,253.5000000
MTSS,D,20140425,000000,250.5300000
MTSS,D,20140428,000000,253.6900000
MTSS,D,20140429,000000,257.9700000
MTSS,D,20140430,000000,258.5000000
MTSS,D,20140502,000000,259.9000000
MTSS,D,20140505,000000,257.0000000
MTSS,D,20140506,000000,258.0000000
MTSS,D,20140507,000000,268.0000000
MTSS,D,20140508,000000,269.3700000
MTSS,D,20140512,000000,266.0000000
MTSS,D,20140513,000000,270.9200000
MTSS,D,20140514,000000,269.0000000
MTSS,D,20140515,000000,266.5700000
MTSS,D,20140516,000000,267.5100000
MTSS,D,20140519,000000,270.9000000
MTSS,D,20140520,000000,273.7400000
MTSS,D,20140521,000000,276.3000000
MTSS,D,20140522,000000,276.0400000
MTSS,D,20140523,000000,280.4000000
MTSS,D,20140526,000000,281.8000000
MTSS,D,20140527,000000,275.0000000
MTSS,D,20140528,000000,279.8000000
MTSS,D,20140529,000000,284.2300000
MTSS,D,20140530,000000,282.5000000
MTSS,D,20140602,000000,290.0000000
MTSS,D,20140603,000000,290.2400000
